2022-07-23 11:13:10.839 INFO  3264 --- [main] o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='default', namespace='', nameServer='192.168.50.136:9876', topic='order_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='A', messageModel=CLUSTERING', tlsEnable=false}
2022-07-23 11:13:10.839 INFO  3264 --- [main] o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:orderConsumerTagA, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_2
2022-07-23 11:13:10.864 INFO  3264 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-07-23 11:13:10.883 INFO  3264 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-07-23 11:13:10.898 INFO  3264 --- [main] com.example.mqdemo.MqdemoApplication - Started MqdemoApplication in 13.394 seconds (JVM running for 21.414)
2022-07-23 11:14:24.227 INFO  3264 --- [http-nio-9090-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-23 11:14:24.227 INFO  3264 --- [http-nio-9090-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-23 11:14:24.229 INFO  3264 --- [http-nio-9090-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-07-23 11:20:25.972 INFO  3264 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:20:26.047 INFO  3264 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:20:26.047 INFO  3264 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:20:26.076 INFO  3264 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:20:26.197 INFO  3264 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[] result: true
2022-07-23 11:20:52.117 INFO  28580 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-07-23 11:20:52.124 INFO  28580 --- [main] com.example.mqdemo.MqdemoApplication - Starting MqdemoApplication using Java 1.8.0_91 on SC-201909211057 with PID 28580 (E:\git\demo\mqdemo\target\classes started by Administrator in E:\git\demo)
2022-07-23 11:20:52.125 INFO  28580 --- [main] com.example.mqdemo.MqdemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-23 11:20:53.321 INFO  28580 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-07-23 11:20:53.334 INFO  28580 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-07-23 11:20:53.336 INFO  28580 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-23 11:20:53.336 INFO  28580 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-23 11:20:53.651 INFO  28580 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-23 11:20:53.652 INFO  28580 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1439 ms
